owner,repo,stars,forks,watchers,deleted,private,archived,disabled
kenneycode,opengles3featuresamplesforandroid,208,51,5,False,False,False,False
kenneycode,openglespro,208,51,5,False,False,False,False
kentindell,canhack,245,51,25,False,False,False,False
kentor,jquery-draggable-background,98,51,5,False,False,False,False
keptn-sandbox,lifecycle-controller,83,51,5,False,False,False,False
keptn,examples,22,51,15,False,False,False,False
keptn,lifecycle-controller,83,51,5,False,False,False,False
keptn,lifecycle-toolkit,83,51,5,False,False,False,False
kerryjiang,logmaster4net,142,51,24,False,False,False,False
kersing,packet_forwarder,85,51,31,False,False,False,False
kerwincui,kwswitch,92,51,5,False,False,False,False
keshikan,dseg,529,51,17,False,False,False,False
kessiler,muonline-season6,68,51,12,False,False,False,False
kevinseim,beanio,76,51,22,False,False,False,False
kewlbear,fdk-aac-build-script-for-ios,94,51,10,False,False,False,False
kexun,jdk_source_learning,132,51,6,False,False,False,False
keya254,pharmacy-pos,5,51,2,False,False,False,False
keyth72,smartguitaramp,1103,51,23,False,False,False,False
kgautam077,ayushshiv,0,51,2,False,False,False,False
khaledhosny,libertine,803,51,44,False,False,False,False
khaledhosny,libertinus,803,51,44,False,False,False,False
khalednoh,instrctions,11,51,1,False,False,False,False
khaleds-brain,bella,159,51,7,False,False,False,False
khanhas,mnmlui,215,51,17,False,False,False,False
kharrigian,mental-health-datasets,260,51,11,False,False,False,False
kheyer,genomic-ulmfit,279,51,12,False,False,False,False
kholia,rc4-40-brute-office,80,51,10,False,False,True,False
khronosgroup,nnef-tools,205,51,26,False,False,False,False
khronosgroup,sycl-docs,85,51,32,False,False,False,False
kid421,unity_practice_petfollow,1,51,3,False,False,False,False
kiei451-spring2020,hello-css,1,51,2,False,False,False,False
kien-nguyen-ngoc,handwritten-text-recognition,2,51,1,False,False,False,False
kimdoanh89,cka-exercises,43,51,2,False,False,False,False
kimjayden,kimjayden,31,51,1,False,False,False,False
kiorky,soappy,75,51,11,False,False,False,False
kirinlabs,httprequest,158,51,7,False,False,False,False
kishikawakatsumi,mapkit-route-directions,351,51,17,False,False,False,False
kiskolabs,humanizer,253,51,25,False,False,False,False
kiteco,vim-plugin,301,51,18,False,False,False,False
kitian616,kitian616.github.io,26,51,4,False,False,False,False
kitura,bluersa,125,51,21,False,False,False,False
kjuly,kyarctab,243,51,30,False,False,False,False
kkkgo,enterprisegconvert,134,51,10,False,False,False,False
klarna,kafka_protocol,88,51,23,False,False,False,False
klerith,archivos-del-mes,124,51,37,False,False,False,False
klevtsovstanislav,python,102,51,11,False,False,False,False
kljensen,golang-html5-sse-example,310,51,14,False,False,False,False
klover2,wechatpay-node-v3-ts,287,51,1,False,False,False,False
km2ii,jp109a_tg-plus,219,51,9,False,False,False,False
km2ii,jvp_tg-plus,219,51,9,False,False,False,False
kmeng01,rome,226,51,6,False,False,False,False
kmpm,node-mdns-js,153,51,10,False,False,False,False
kmsquire,videoio.jl,118,51,12,False,False,False,False
kmwoley,relica-windows-backup,224,51,11,False,False,False,False
kmwoley,restic-windows-backup,224,51,11,False,False,False,False
knative-sandbox,eventing-rabbitmq,74,51,10,False,False,False,False
knpuniversity,rest,52,51,13,False,False,False,False
kodecocodes,sa-materials,121,51,18,False,False,False,False
koding,hackathon.submit,5,51,9,False,False,False,False
komuw,sewer,143,51,11,False,False,False,False
kong,apiembed,401,51,31,False,False,False,False
