owner,repo,stars,forks,watchers,deleted,private,archived,disabled
agrawalsuneet,loaderspack-android,131,18,4,False,False,False,False
aiko-chan-ai,discordbotclient,131,13,7,False,False,False,False
aircloud,backboneanalyze,131,45,8,False,False,False,False
aishek,modulargrid,131,22,11,False,False,False,False
aisin-trc,e2pose,131,13,7,False,False,False,False
aithedev,x-bogus,131,64,6,False,False,False,False
ajilderda,sketch-copy-paste-position-size,131,6,11,False,False,True,False
ajlkn,jquery.dropotron,131,60,17,False,False,False,False
akash-joshi,fsf,131,4,5,False,False,False,False
akash-joshi,functions-over-websockets,131,4,5,False,False,False,False
akash-joshi,functions-without-borders,131,4,5,False,False,False,False
akash-joshi,functions-without-boundaries,131,4,5,False,False,False,False
akash-joshi,rocketrpc,131,4,5,False,False,False,False
akshay-arjun,69phisher,131,26,4,False,False,False,False
akyoto,cache,131,14,4,False,False,False,False
alanwongsgithub,vue-weather,131,37,4,False,False,False,False
albrow,forms,131,22,7,False,False,False,False
albrow,go-data-parser,131,22,7,False,False,False,False
alduxvm,pymultiwii,131,77,21,False,False,False,False
alecjacobson,ascii3d,131,2,5,False,False,False,False
aleksi,cgo-by-example,131,23,4,False,False,True,False
aleksk1ng,go-cqrs-kafka-grpc-microservices,131,32,2,False,False,False,False
alexandajerry,vits-japanese-isla,131,30,5,False,False,False,False
alexandajerry,whisper-vits-japanese,131,30,5,False,False,False,False
alexander-h-liu,ufdn,131,27,6,False,False,False,False
alexisbcook,keras_transfer_cifar10,131,57,8,False,False,False,False
alfresco,acs-community-deployment,131,130,67,False,False,True,False
alfrescoarchive,acs-community-deployment,131,130,67,False,False,True,False
alibaba,trescope,131,14,9,False,False,False,False
aligrudi,neatcc,131,25,13,False,False,False,False
aliutkus,pytorch-searchsorted,131,20,6,False,False,False,False
aliutkus,pytorch_searchsorted,131,20,6,False,False,False,False
aliutkus,torchsearchsorted,131,20,6,False,False,False,False
aljazbozic,transformerfusion,131,12,11,False,False,False,False
allenwrong,self-learning-record,131,23,2,False,False,False,False
amagovpt,autenticacao.gov,131,32,30,False,False,False,False
amagovpt,middleware-cart-o-de-cidad-o,131,32,30,False,False,False,False
amagovpt,middleware-cc,131,32,30,False,False,False,False
amandaghassaei,vortexshedding,131,19,5,False,False,False,False
amigoscode,javascript,131,194,17,False,False,False,False
amitmy,chimera,131,23,8,False,False,False,False
amueller,gco_python,131,58,7,False,False,False,False
an00nymushun,discordfreestickers,131,149,3,False,False,False,False
andersdjohnson,webpack-babel-env-deps,131,3,2,False,False,False,False
andreanobile,opencv_ffmpeg_streaming,131,39,5,False,False,False,False
andreasbm,lit-translate,131,13,11,False,False,False,False
andreasnoack,genericlinearalgebra.jl,131,24,7,False,False,False,False
andreasnoack,linearalgebra.jl,131,24,7,False,False,False,False
andreidrang,python3-anticaptcha,131,36,8,False,False,False,False
andrejilderda,sketch-copy-paste-position-size,131,6,11,False,False,True,False
andrewsb,awesome-macos,131,7,10,False,False,False,False
andrewsb,awesome-osx,131,7,10,False,False,False,False
andreysber,clean-multimodel-arch,131,27,0,False,False,False,False
android,background-tasks-samples,131,59,28,False,False,True,False
andylamp,bplustree,131,45,7,False,False,False,False
angistudio,copy-paste-position-size,131,6,11,False,False,True,False
angistudio,sketch-copy-paste-position-size,131,6,11,False,False,True,False
angular,protractor-cookbook,131,70,28,False,False,True,False
animetrics,plistcpp,131,58,12,False,False,False,False
aniverse,a,131,50,6,False,False,False,False
ankitsejwal,lyndor,131,31,14,False,False,False,False
annex-engineering,quickdraw_probe,131,24,16,False,False,False,False
anntzer,imatlab,131,21,12,False,False,False,False
anntzer,matlab_kernel,131,21,12,False,False,False,False
anr-kamoulox,pytorch-searchsorted,131,20,6,False,False,False,False
ant-design,html2sketch,131,17,5,False,False,False,False
antfu,magic-string-extra,131,3,3,False,False,True,False
anthchirp,mastodon-defederate,131,4,4,False,False,False,False
anthchirp,mastodon-serverblock,131,4,4,False,False,False,False
antismash,antismash,131,57,13,False,False,False,False
anton-povarov,pinba2,131,18,11,False,False,False,False
antony,sveltekit-adapter-browser-extension,131,14,2,False,False,False,False
aoiujz,wechatsdk,131,76,19,False,False,False,False
aous72,openjph,131,34,14,False,False,False,False
apache,hama,131,70,30,False,False,True,False
apachecn,hands-on-ml-2e-zh,131,63,3,False,False,True,False
apachecn,interpretable-ml-book-zh,131,41,14,False,False,True,False
apierz,nerdbar.widget,131,10,3,False,False,False,False
apoorvsaxena,colordrop,131,18,9,False,False,False,False
appfeel,admob-google-cordova,131,111,18,False,False,False,False
apps4av,avare,131,114,33,False,False,False,False
appstract,laravel-meta,131,11,8,False,False,False,False
apress,def-guide-spring-batch,131,129,12,False,False,False,False
arachnid,flashbots-proxy,131,8,6,False,False,False,False
arashpartow,proxy,131,68,9,False,False,False,False
ardupilot,archived-px4firmware,131,449,67,False,False,True,False
ardupilot,px4firmware,131,449,67,False,False,True,False
ariesclark,tanu.js,131,5,4,False,False,False,False
armenag,improvisation,131,16,15,False,False,False,False
arniex,swifitch,131,29,23,False,False,False,False
arsfutura,face-recognition,131,42,15,False,False,False,False
arthurvasconcelos,vue-izitoast,131,22,6,False,False,False,False
arturgrigor,cloudkitgdpr,131,4,3,False,False,False,False
arvin641,fuzzy_pid,131,66,11,False,False,False,False
arvinxx,html2sketch,131,17,5,False,False,False,False
aseprite,aseprite-script-examples,131,18,7,False,False,False,False
asphyxia-core,plugins,131,46,5,False,False,False,False
asterisk,ari-py,131,71,28,False,False,False,False
astralis3d,hlslexplorer,131,16,6,False,False,False,False
astronomer,astronomer-cosmos,131,23,12,False,False,False,False
asweigart,sushigoroundbot,131,59,12,False,False,False,False
ataurr,themeforest-wordpress-theme-development-workflow,131,57,20,False,False,False,False
atec2018,deep-siamese-text-similarity,131,36,7,False,False,False,False
atelierbram,syntax-highlighting,131,28,7,False,False,False,False
atherosai,express-graphql-demo,131,32,5,False,False,False,False
atherosai,graphql-gateway-apollo-express,131,32,5,False,False,False,False
atlasnx,homebrew-guide,131,63,12,False,False,False,False
audiofilter,spuce,131,35,15,False,False,False,False
aullman,opentok-meet,131,88,25,False,False,False,False
aureliojargas,clitest,131,12,7,False,False,False,False
auser,beehive,131,16,13,False,False,False,False
avosalmon,modular-monolith-laravel,131,27,4,False,False,False,False
aws-cloudformation,aws-cloudformation-template-schema,131,23,18,False,False,False,False
aws-cloudformation,cloudformation-template-schema,131,23,18,False,False,False,False
aws-samples,d2l-java,131,41,17,False,False,False,False
aws-samples,sagemaker-ml-workflow-with-apache-airflow,131,80,9,False,False,False,False
awslabs,awsprocesscreds,131,37,24,False,False,False,False
awslabs,ktf,131,18,12,False,False,False,False
ayoubkhammassi,customcomputeshaders,131,30,4,False,False,False,False
aztecprotocol,aztec-2.0,131,36,13,False,False,True,False
azure-samples,serverless-apis,131,35,31,False,False,False,False
azure-samples,storage-blob-dotnet-getting-started,131,123,28,False,False,False,False
azure,azops-accelerator,131,62,24,False,False,False,False
badaix,popl,131,26,10,False,False,False,False
badoo,pinba2,131,18,11,False,False,False,False
balaclark,html5-comic-book-reader,131,40,16,False,False,False,False
